,tf_selection,tf_number,delta_magnitude,v_modulation,beta,tfs,delta,most_similar_cell,cosine_to_most_similar,cosine_to_target,time_to_converge
4408,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Plagl1')","(1.0, 1.0, 1.0)",stromal cell,0.995768415,0.621920576,50
4409,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Pou3f2')","(1.0, 1.0, 1.0)",stromal cell,0.995768359,0.621920168,50
4410,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Rora')","(1.0, 1.0, 1.0)",stromal cell,0.995768358,0.62192016,50
4411,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Sox5')","(1.0, 1.0, 1.0)",stromal cell,0.995768428,0.621920671,50
4412,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Sox9')","(1.0, 1.0, 1.0)",pancreatic ductal cell,1,0.551234058,50
4413,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Tcf4')","(1.0, 1.0, 1.0)",endothelial cell,0.99990508,0.578858057,50
4414,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Trps1')","(1.0, 1.0, 1.0)",basal cell of epidermis,0.99690913,0.549149364,50
4415,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Tsc22d1')","(1.0, 1.0, 1.0)",endothelial cell,0.99990508,0.578858057,50
4416,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Zbtb16')","(1.0, 1.0, 1.0)",stromal cell,0.995768339,0.62192002,50
4417,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Zeb1')","(1.0, 1.0, 1.0)",pancreatic stellate cell,0.99997215,0.683056104,50
4418,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Zeb2')","(1.0, 1.0, 1.0)",pancreatic stellate cell,0.99997215,0.683056104,50
4419,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Zfp536')","(1.0, 1.0, 1.0)",stromal cell,0.995768399,0.621920462,50
4420,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Zfp612')","(1.0, 1.0, 1.0)",mesothelial cell,0.999999993,0.566076881,50
4421,only,3,1,tmp,50,"('Isl1', 'Nfib', 'Zfp9')","(1.0, 1.0, 1.0)",pancreatic stellate cell,0.99997215,0.683056104,50
4422,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Nr1d1')","(1.0, 1.0, 1.0)",stromal cell,0.995768447,0.621920811,50
4423,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Olig2')","(1.0, 1.0, 1.0)",oligodendrocyte precursor cell,0.999999997,0.689420806,50
4424,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Peg3')","(1.0, 1.0, 1.0)",type B pancreatic cell,0.999958061,0.732562931,50
4425,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Plagl1')","(1.0, 1.0, 1.0)",stromal cell,0.995768439,0.621920752,50
4426,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Pou3f2')","(1.0, 1.0, 1.0)",stromal cell,0.995768405,0.621920502,50
4427,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Rora')","(1.0, 1.0, 1.0)",stromal cell,0.995768358,0.621920159,50
4428,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Sox5')","(1.0, 1.0, 1.0)",stromal cell,0.995768445,0.621920799,50
4429,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Sox9')","(1.0, 1.0, 1.0)",basal cell,0.999971229,0.498026165,50
4430,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Tcf4')","(1.0, 1.0, 1.0)",stromal cell,0.99576835,0.621920098,50
4431,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Trps1')","(1.0, 1.0, 1.0)",stromal cell,0.995768415,0.621920574,50
4432,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Tsc22d1')","(1.0, 1.0, 1.0)",type II pneumocyte,0.999999946,0.532093149,50
4433,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Zbtb16')","(1.0, 1.0, 1.0)",stromal cell,0.995768337,0.621920006,50
4434,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Zeb1')","(1.0, 1.0, 1.0)",stromal cell,0.995768412,0.621920553,50
4435,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Zeb2')","(1.0, 1.0, 1.0)",stromal cell,0.995768395,0.621920432,50
4436,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Zfp536')","(1.0, 1.0, 1.0)",stromal cell,0.995768434,0.621920716,50
4437,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Zfp612')","(1.0, 1.0, 1.0)",mesothelial cell,0.999999993,0.566076881,50
4438,only,3,1,tmp,50,"('Isl1', 'Nfix', 'Zfp9')","(1.0, 1.0, 1.0)",stromal cell,0.995768417,0.621920593,50
4439,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Olig2')","(1.0, 1.0, 1.0)",stromal cell,0.995768455,0.621920871,50
4440,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Peg3')","(1.0, 1.0, 1.0)",pancreatic D cell,0.999748392,0.764338616,50
4441,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Plagl1')","(1.0, 1.0, 1.0)",stromal cell,0.995768468,0.621920966,50
4442,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Pou3f2')","(1.0, 1.0, 1.0)",stromal cell,0.995768456,0.621920874,50
4443,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Rora')","(1.0, 1.0, 1.0)",stromal cell,0.995768447,0.621920809,50
4444,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Sox5')","(1.0, 1.0, 1.0)",stromal cell,0.995768472,0.621920993,50
4445,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Sox9')","(1.0, 1.0, 1.0)",astrocyte of the cerebral cortex,0.999891994,0.675834893,50
4446,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Tcf4')","(1.0, 1.0, 1.0)",astrocyte of the cerebral cortex,0.999891994,0.675834893,50
4447,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Trps1')","(1.0, 1.0, 1.0)",stromal cell,0.995768458,0.621920893,50
4448,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Tsc22d1')","(1.0, 1.0, 1.0)",neuron,0.989617933,0.989617933,17.33466934
4449,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Zbtb16')","(1.0, 1.0, 1.0)",stromal cell,0.995768442,0.621920775,50
4450,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Zeb1')","(1.0, 1.0, 1.0)",stromal cell,0.995768458,0.621920889,50
4451,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Zeb2')","(1.0, 1.0, 1.0)",pancreatic stellate cell,0.99997215,0.683056104,50
4452,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Zfp536')","(1.0, 1.0, 1.0)",stromal cell,0.995768466,0.621920945,50
4453,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Zfp612')","(1.0, 1.0, 1.0)",mesothelial cell,0.999999993,0.566076881,50
4454,only,3,1,tmp,50,"('Isl1', 'Nr1d1', 'Zfp9')","(1.0, 1.0, 1.0)",stromal cell,0.995768459,0.621920897,50
4455,only,3,1,tmp,50,"('Isl1', 'Olig2', 'Peg3')","(1.0, 1.0, 1.0)",pancreatic PP cell,0.994791953,0.723259113,50
4456,only,3,1,tmp,50,"('Isl1', 'Olig2', 'Plagl1')","(1.0, 1.0, 1.0)",stromal cell,0.995768449,0.621920826,50
4457,only,3,1,tmp,50,"('Isl1', 'Olig2', 'Pou3f2')","(1.0, 1.0, 1.0)",oligodendrocyte precursor cell,0.999999997,0.689420806,50
4458,only,3,1,tmp,50,"('Isl1', 'Olig2', 'Rora')","(1.0, 1.0, 1.0)",stromal cell,0.995768401,0.621920472,50
4459,only,3,1,tmp,50,"('Isl1', 'Olig2', 'Sox5')","(1.0, 1.0, 1.0)",oligodendrocyte precursor cell,0.999999997,0.689420806,50
4460,only,3,1,tmp,50,"('Isl1', 'Olig2', 'Sox9')","(1.0, 1.0, 1.0)",luminal epithelial cell of mammary gland,0.999970923,0.465263418,50
4461,only,3,1,tmp,50,"('Isl1', 'Olig2', 'Tcf4')","(1.0, 1.0, 1.0)",oligodendrocyte precursor cell,0.999999997,0.689420806,50
4462,only,3,1,tmp,50,"('Isl1', 'Olig2', 'Trps1')","(1.0, 1.0, 1.0)",oligodendrocyte precursor cell,0.999999997,0.689420806,50
4463,only,3,1,tmp,50,"('Isl1', 'Olig2', 'Tsc22d1')","(1.0, 1.0, 1.0)",oligodendrocyte precursor cell,0.999999997,0.689420806,50
4464,only,3,1,tmp,50,"('Isl1', 'Olig2', 'Zbtb16')","(1.0, 1.0, 1.0)",stromal cell,0.995768341,0.621920031,50
4465,only,3,1,tmp,50,"('Isl1', 'Olig2', 'Zeb1')","(1.0, 1.0, 1.0)",oligodendrocyte precursor cell,0.999999997,0.689420806,50
4466,only,3,1,tmp,50,"('Isl1', 'Olig2', 'Zeb2')","(1.0, 1.0, 1.0)",oligodendrocyte precursor cell,0.999999997,0.689420806,50
4467,only,3,1,tmp,50,"('Isl1', 'Olig2', 'Zfp536')","(1.0, 1.0, 1.0)",oligodendrocyte,0.999999997,0.54378308,50
4468,only,3,1,tmp,50,"('Isl1', 'Olig2', 'Zfp612')","(1.0, 1.0, 1.0)",pancreatic PP cell,0.994791882,0.723259005,50
4469,only,3,1,tmp,50,"('Isl1', 'Olig2', 'Zfp9')","(1.0, 1.0, 1.0)",pancreatic PP cell,0.994791954,0.723259115,50
4470,only,3,1,tmp,50,"('Isl1', 'Peg3', 'Plagl1')","(1.0, 1.0, 1.0)",pancreatic D cell,0.999748392,0.764338616,50
4471,only,3,1,tmp,50,"('Isl1', 'Peg3', 'Pou3f2')","(1.0, 1.0, 1.0)",pancreatic PP cell,0.994791953,0.723259113,50
4472,only,3,1,tmp,50,"('Isl1', 'Peg3', 'Rora')","(1.0, 1.0, 1.0)",type B pancreatic cell,0.999958061,0.732562931,50
4473,only,3,1,tmp,50,"('Isl1', 'Peg3', 'Sox5')","(1.0, 1.0, 1.0)",pancreatic PP cell,0.994791947,0.723259104,50
4474,only,3,1,tmp,50,"('Isl1', 'Peg3', 'Sox9')","(1.0, 1.0, 1.0)",pancreatic D cell,0.999748392,0.764338616,50
4475,only,3,1,tmp,50,"('Isl1', 'Peg3', 'Tcf4')","(1.0, 1.0, 1.0)",pancreatic D cell,0.999748392,0.764338616,50
4476,only,3,1,tmp,50,"('Isl1', 'Peg3', 'Trps1')","(1.0, 1.0, 1.0)",type B pancreatic cell,0.999958061,0.732562931,50
4477,only,3,1,tmp,50,"('Isl1', 'Peg3', 'Tsc22d1')","(1.0, 1.0, 1.0)",pancreatic PP cell,0.994791943,0.723259098,50
4478,only,3,1,tmp,50,"('Isl1', 'Peg3', 'Zbtb16')","(1.0, 1.0, 1.0)",pancreatic PP cell,0.994791941,0.723259095,50
4479,only,3,1,tmp,50,"('Isl1', 'Peg3', 'Zeb1')","(1.0, 1.0, 1.0)",pancreatic PP cell,0.994791955,0.723259116,50
4480,only,3,1,tmp,50,"('Isl1', 'Peg3', 'Zeb2')","(1.0, 1.0, 1.0)",pancreatic PP cell,0.994792264,0.723259589,50
4481,only,3,1,tmp,50,"('Isl1', 'Peg3', 'Zfp536')","(1.0, 1.0, 1.0)",pancreatic PP cell,0.994791946,0.723259102,50
4482,only,3,1,tmp,50,"('Isl1', 'Peg3', 'Zfp612')","(1.0, 1.0, 1.0)",pancreatic PP cell,0.994791919,0.723259061,50
4483,only,3,1,tmp,50,"('Isl1', 'Peg3', 'Zfp9')","(1.0, 1.0, 1.0)",pancreatic PP cell,0.994791966,0.723259134,50
4484,only,3,1,tmp,50,"('Isl1', 'Plagl1', 'Pou3f2')","(1.0, 1.0, 1.0)",stromal cell,0.995768449,0.621920826,50
4485,only,3,1,tmp,50,"('Isl1', 'Plagl1', 'Rora')","(1.0, 1.0, 1.0)",stromal cell,0.995768439,0.621920752,50
4486,only,3,1,tmp,50,"('Isl1', 'Plagl1', 'Sox5')","(1.0, 1.0, 1.0)",stromal cell,0.995768467,0.621920957,50
4487,only,3,1,tmp,50,"('Isl1', 'Plagl1', 'Sox9')","(1.0, 1.0, 1.0)",luminal epithelial cell of mammary gland,0.999970923,0.465263418,50
4488,only,3,1,tmp,50,"('Isl1', 'Plagl1', 'Tcf4')","(1.0, 1.0, 1.0)",stromal cell,0.995768429,0.621920678,50
4489,only,3,1,tmp,50,"('Isl1', 'Plagl1', 'Trps1')","(1.0, 1.0, 1.0)",stromal cell,0.995768452,0.621920849,50
4490,only,3,1,tmp,50,"('Isl1', 'Plagl1', 'Tsc22d1')","(1.0, 1.0, 1.0)",fibroblast,0.999976209,0.636057541,50
4491,only,3,1,tmp,50,"('Isl1', 'Plagl1', 'Zbtb16')","(1.0, 1.0, 1.0)",stromal cell,0.995768431,0.621920695,50
